id;time_of_message;match_id;match_date;corner_sending
1;2020-10-25T16:16:20;2907;2020-10-26T01:28:32;false
2;2020-10-25T20:12:32;56337;2020-10-25T01:32:51;false
3;2020-10-26T01:24:28;8845;2020-10-25T21:06:16;true
4;2020-10-25T13:15:19;75060;2020-10-25T17:40:52;false
5;2020-10-25T02:34:22;23206;2020-10-25T05:41:56;false
6;2020-10-25T14:05:51;93221;2020-10-25T04:27:22;true
7;2020-10-25T04:21:04;37612;2020-10-25T23:12:57;true
8;2020-10-25T19:03:06;96639;2020-10-25T02:00:07;false
9;2020-10-25T07:35:08;21461;2020-10-25T02:54:33;false
10;2020-10-25T10:07:24;454;2020-10-25T14:35:46;true
